FilingDate,PeriodEnd,AmortizationOfIntangibleAssets,BusinessCombinationBargainPurchaseGainRecognizedAmount,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DeferredIncomeTaxExpenseBenefit,DepreciationAmortizationAndAccretionNet,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EquitySecuritiesGainLossOnShareExchange,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,GainLossOnInvestments,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndOtherLiabilities,IncreaseDecreaseInAccruedInterestsAndAccountsReceivable,IncreaseDecreaseInAssetBackedCommercialPaper,IncreaseDecreaseInBeneficialInterestsIssuedByConsolidatedVariableInterestEntities,IncreaseDecreaseInCashCollateralForBorrowedSecurities,IncreaseDecreaseInDeposits,IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInTradingLiabilities,InterestPaid,InterestPaidNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherNoncashIncomeExpense,OtherOperatingActivitiesCashFlowStatement,PaymentsForOriginationAndPurchasesOfLoansHeldForSale,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromLoansAndLeases,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStockAndWarrants,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStockIssuedToUsTreasury,PaymentsOfDividends,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireHeldToMaturitySecurities,PaymentsforOtherLoansandLeases,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromPaymentsForFederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResellNet,ProceedsFromPaymentsForInInterestBearingDepositsInBanks,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromPaymentsForOtherLoansAndLeases,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfFinanceReceivables,ProceedsFromSaleOfLoansAndLeasesHeldForInvestment,ProceedsFromSalesSecuritizationsAndPaydownsOfLoansHeldForSale,ProceedsFromShortTermDebt,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLeaseAndOtherLossesExcludingAccountingPolicyConformity,RepaymentsOfLongTermDebtAndCapitalSecurities,RepaymentsOfShortTermDebt,ShareBasedCompensation,StockRedeemedOrCalledDuringPeriodValue
2019-02-26,2017-12-31,,,431304000000,40150000000,,,,2312000000,6179000000,8086000000,,,,,,4325000000,-16508000000,15868000000,,-1377000000,8653000000,57022000000,-6739000000,-5673000000,-3982000000,-26256000000,,14153000000,14642000000,28249000000,-10827000000,24441000000,-2136000000,7803000000,94628000000,,,563000000,15410000000,,1258000000,,8993000000,,105309000000,,2349000000,61650000000,,56271000000,1258000000,56117000000,4563000000,31448000000,,407000000,,,,,90201000000,,15791000000,93270000000,16540000000,5290000000,,83079000000,481000000,,
2019-02-26,2018-12-31,,,278793000000,-152511000000,,,,1721000000,7791000000,-2863000000,,,,,,3542000000,14630000000,5849000000,,1712000000,6861000000,26728000000,23415000000,38371000000,8833000000,18290000000,,21152000000,34158000000,-197993000000,14187000000,32474000000,-2717000000,295000000,102141000000,,,4986000000,19983000000,,1696000000,,10109000000,,95091000000,,9368000000,81586000000,,71662000000,1696000000,37401000000,2945000000,-123201000000,,-1430000000,,,,,46067000000,,29826000000,93453000000,18476000000,4871000000,,76313000000,678000000,,
2020-02-25,2016-12-31,,,,,,391154000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,2017-12-31,,,,,,431304000000,40150000000,2312000000,6179000000,,8086000000,,,,,4325000000,-16508000000,15868000000,,-1377000000,8653000000,57022000000,-6739000000,-5673000000,-3982000000,-26256000000,,14153000000,14642000000,28249000000,-10827000000,24441000000,-2136000000,7803000000,94628000000,,,563000000,15410000000,,1258000000,,8993000000,,105309000000,,2349000000,61650000000,,56271000000,1258000000,56117000000,4563000000,31448000000,,407000000,,,,,90201000000,,15791000000,93270000000,16540000000,5290000000,,83079000000,481000000,,
2020-02-25,2018-12-31,,,,,,278793000000,-152511000000,1721000000,7791000000,,-2863000000,,,,,3542000000,14630000000,5849000000,,1712000000,6861000000,26728000000,23415000000,38371000000,8833000000,18290000000,,21152000000,34158000000,-197993000000,14187000000,32474000000,-2717000000,295000000,102141000000,,,4986000000,19983000000,,1696000000,,10109000000,,95091000000,,9368000000,81586000000,,71662000000,1696000000,37401000000,2945000000,-123201000000,,-1430000000,,,,,46067000000,,29826000000,93453000000,18476000000,4871000000,,76313000000,678000000,,
2020-02-25,2019-12-31,,,,,,263631000000,-15162000000,949000000,8368000000,,-182000000,,,,,5624000000,-352000000,78000000,,4289000000,27631000000,101002000000,1347000000,652000000,17949000000,-14516000000,,29918000000,32987000000,-54013000000,6046000000,36431000000,-1996000000,5693000000,70980000000,,,5035000000,24001000000,,4075000000,,12343000000,,242149000000,,13427000000,53697000000,,61085000000,5000000000,52200000000,3423000000,72396000000,,-1146000000,,,,,70181000000,,62095000000,79182000000,,5585000000,,69610000000,28561000000,,
2021-02-23,2017-12-31,,,,,,431304000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,2018-12-31,,,,,,278793000000,-152511000000,1721000000,7791000000,,-2863000000,,,,,3542000000,14630000000,5849000000,,1712000000,6861000000,26728000000,23415000000,35067000000,8779000000,18290000000,,21152000000,34158000000,-199420000000,15614000000,32474000000,-2717000000,-1343000000,172728000000,,,4986000000,19983000000,,1696000000,,10109000000,,95091000000,,9368000000,83013000000,,71662000000,1696000000,37401000000,2945000000,-123201000000,,-1430000000,,,,,46067000000,29826000000,,163747000000,18476000000,4871000000,,76313000000,678000000,,
2021-02-23,2019-12-31,,,,,,263631000000,-15162000000,949000000,8368000000,,-182000000,,,,,5624000000,-352000000,78000000,,4289000000,27631000000,101002000000,1347000000,-6551000000,17570000000,-14516000000,,29918000000,32987000000,-52059000000,4092000000,36431000000,-1996000000,2233000000,169289000000,,,5035000000,24001000000,,4075000000,,12343000000,,242149000000,,13427000000,51743000000,,61085000000,5000000000,52200000000,3423000000,72396000000,,-1146000000,,,,,70181000000,62095000000,,171415000000,,5585000000,,69610000000,28561000000,,
2021-02-23,2020-12-31,,,,,,527609000000,263978000000,-3981000000,8614000000,,9155000000,,,,,7661000000,7827000000,18012000000,,1347000000,20734000000,602765000000,31528000000,148749000000,42434000000,77198000000,,13077000000,596645000000,-261912000000,-79910000000,29131000000,-1649000000,3115000000,166504000000,,,7341000000,6517000000,,1430000000,,12690000000,,397145000000,,12400000000,50263000000,,78686000000,4500000000,57675000000,21360000000,-47115000000,,-927000000,,,,,149758000000,23559000000,,175490000000,4438000000,17480000000,,105055000000,20000000,,
2022-02-22,2018-12-31,,,,,,278793000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-22,2019-12-31,,,,,,263631000000,-15162000000,1270000000,8368000000,,-182000000,,,,,6224000000,-466000000,78000000,,4289000000,27631000000,101002000000,1347000000,-6551000000,17777000000,-14516000000,,29918000000,32987000000,-52059000000,4092000000,36431000000,-1996000000,2233000000,169289000000,,,5035000000,24001000000,,4075000000,,12343000000,,242149000000,,13427000000,,,61085000000,5000000000,52200000000,3423000000,72396000000,,-1146000000,-51743000000,,,,70181000000,62095000000,,171415000000,,5585000000,,69610000000,28561000000,,
2022-02-22,2020-12-31,,,,,,527609000000,263978000000,-3573000000,8614000000,,9155000000,,,,,8140000000,7415000000,18012000000,,1347000000,20734000000,602765000000,31528000000,148749000000,42430000000,77198000000,,13077000000,596645000000,-261912000000,-79910000000,29131000000,-1649000000,3115000000,166504000000,,,7341000000,6517000000,,1430000000,,12690000000,,397145000000,,12400000000,,,78686000000,4500000000,57675000000,21360000000,-47115000000,,-927000000,-50263000000,,,,149758000000,23559000000,,175490000000,4438000000,17480000000,,105055000000,20000000,,
2022-02-22,2021-12-31,,,,,,740834000000,213225000000,3748000000,7932000000,,-11508000000,,,,,18737000000,43162000000,12401000000,,-4254000000,45635000000,293764000000,-20799000000,-85710000000,11745000000,-23190000000,,5142000000,275993000000,-129344000000,78084000000,48334000000,-3274000000,-398000000,347864000000,,,11044000000,18408000000,,2575000000,,12858000000,,248785000000,,111756000000,,,82409000000,7350000000,50075000000,50897000000,34473000000,,-1477000000,-91797000000,,,,162748000000,35845000000,,336413000000,7773000000,-9256000000,,54932000000,0,,
2023-02-21,2019-12-31,,,,,,263631000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21,2020-12-31,,,,,,527609000000,263978000000,-3573000000,8614000000,,9155000000,,,,,8140000000,7415000000,18012000000,,1347000000,20734000000,602765000000,31528000000,148749000000,42430000000,77198000000,,13077000000,596645000000,-261912000000,-79910000000,29131000000,-1649000000,3115000000,166504000000,,,7341000000,6517000000,,1430000000,,12690000000,,397145000000,,12400000000,,,78686000000,4500000000,57675000000,21360000000,-47115000000,,-927000000,-50263000000,,,,149758000000,23559000000,,175490000000,4438000000,17480000000,,105055000000,20000000,,
2023-02-21,2021-12-31,,,,,,740834000000,213225000000,3748000000,7932000000,,-11508000000,,,,,18737000000,43162000000,12401000000,,-4254000000,45635000000,293764000000,-20799000000,-85710000000,11745000000,-23190000000,,5142000000,275993000000,-129344000000,78084000000,48334000000,-3274000000,-398000000,347864000000,,,11044000000,18408000000,,2575000000,,12858000000,,248785000000,,111756000000,,,82409000000,7350000000,50075000000,50897000000,34473000000,,-1477000000,-91797000000,,,,162748000000,35845000000,,336413000000,7773000000,-9256000000,,54932000000,0,,
2023-02-21,2022-12-31,,,,,,567234000000,-173600000000,-2738000000,7051000000,,-16643000000,,,,,4355000000,58614000000,22970000000,,2205000000,-20203000000,-136895000000,8455000000,31449000000,2882000000,11170000000,,23143000000,-126257000000,-137819000000,107119000000,37676000000,-5174000000,2339000000,149167000000,,,11932000000,3162000000,,7434000000,,13562000000,,126258000000,,33676000000,,,78442000000,0,39159000000,48626000000,-54278000000,,234000000,-128968000000,,,,84616000000,44892000000,,167709000000,,6389000000,,45556000000,8984000000,,
2024-02-16,2020-12-31,,,,,,527609000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-16,2021-12-31,,0,,,,740834000000,213225000000,3748000000,7932000000,,-11508000000,,,,,18737000000,43162000000,12401000000,,-4254000000,45635000000,293764000000,-20799000000,-85710000000,11745000000,-23190000000,,5142000000,275993000000,-129344000000,78084000000,48334000000,-3274000000,-398000000,347864000000,,,11044000000,18408000000,,2575000000,,12858000000,,248785000000,0,111756000000,,,82409000000,7350000000,50075000000,50897000000,34473000000,,-1477000000,-91797000000,,,,162748000000,35845000000,,336413000000,,-9256000000,,54932000000,0,,
2024-02-16,2022-12-31,,0,,,,567234000000,-173600000000,-2738000000,7051000000,,-16643000000,,,,,4355000000,58614000000,22970000000,,2205000000,-20203000000,-136895000000,8455000000,31449000000,2882000000,11170000000,,23143000000,-126257000000,-137819000000,107119000000,37676000000,-5174000000,2339000000,149167000000,,,11932000000,3162000000,,7434000000,,13562000000,,126258000000,0,33676000000,,,78442000000,0,39159000000,48626000000,-54278000000,,234000000,-128968000000,,,,84616000000,44892000000,,167709000000,,6389000000,,45556000000,8984000000,,
2024-02-16,2023-05-01,,2700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000000,,,,,
2024-02-16,2023-12-31,,2775000000,,,,624151000000,56917000000,-4534000000,7512000000,,1871000000,,,,,9908000000,-25388000000,-19928000000,,9029000000,14902000000,-32196000000,13801000000,74091000000,-32970000000,5315000000,,77114000000,-25571000000,67643000000,12974000000,49552000000,-4301000000,4581000000,115245000000,,,16740000000,9824000000,,0,,13463000000,,115499000000,9920000000,4141000000,,,75417000000,0,53744000000,53056000000,39740000000,,-1521000000,-88343000000,,,,108434000000,47312000000,,116430000000,,9320000000,,64880000000,1934000000,,
2025-02-14,2021-12-31,,,,,,740834000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-14,2022-12-31,,0,,,,567234000000,-173600000000,-2738000000,7051000000,,-16643000000,0,,,,4355000000,58614000000,22970000000,,2205000000,-20203000000,-136895000000,8455000000,31449000000,2882000000,11170000000,,23143000000,-126257000000,-137819000000,107119000000,37676000000,-5174000000,2339000000,149167000000,,,11932000000,3162000000,,7434000000,,13562000000,,126258000000,0,33676000000,,,78442000000,0,39159000000,48626000000,-54278000000,,234000000,-128968000000,,,,84616000000,44892000000,,167709000000,,6389000000,,45556000000,8984000000,,
2025-02-14,2023-05-01,,2700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-14,2023-12-31,,2775000000,,,,624151000000,56917000000,-4534000000,7512000000,,1871000000,0,,,,9908000000,-25388000000,-19928000000,,9029000000,14902000000,-32196000000,13801000000,74091000000,-32970000000,5315000000,,77114000000,-25571000000,67643000000,12974000000,49552000000,-4301000000,4581000000,115245000000,,,16740000000,9824000000,,0,,13463000000,,115499000000,9920000000,4141000000,,,75417000000,0,53744000000,53056000000,39740000000,,-1521000000,-88343000000,,,,108434000000,47312000000,,116430000000,,9320000000,,64880000000,1934000000,,
2025-02-14,2024-05-06,,,,,,,,,,,,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-14,2024-12-31,,103000000,,,,469317000000,-154834000000,2004000000,7938000000,,-12866000000,7990000000,,,,11715000000,-90000000,-5735000000,,1543000000,18762000000,3299000000,80288000000,95729000000,7650000000,2276000000,,99642000000,63447000000,-163403000000,-42012000000,58471000000,-1985000000,6160000000,212238000000,,,2146000000,18830000000,,9850000000,,14783000000,,352712000000,2362000000,4709000000,,,109915000000,2500000000,38499000000,99363000000,-18706000000,,-1469000000,-83176000000,,,,104625000000,57921000000,,205303000000,,10678000000,,96605000000,999000000,,
