FilingDate,PeriodEnd,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ChangesInNoncontrollingInterestNet,DebtSecuritiesHeldToMaturityTransferAmount,DepreciationAmortizationAndAccretionNet,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeposits,IncreaseDecreaseInDerivativeAssetsAndLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInLoansHeldForSale,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInTradingAssets,IncreaseDecreaseInTradingSecurities,InterestPaidNet,LoansOriginatedByNonbankEntities,LongTermDebtTransferAmount,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetChangeInFederalFundsSoldSecuritiesPurchasedUnderResaleAgreementsAndOtherShortTermInvestments,OtherNoncashIncome,OtherNoncashIncomeExpense,PaymentsForLoansOriginatedByBankingSubsidiariesNetOfProceedsFromCollections,PaymentsForOriginationAndPurchasesOfLoansHeldForSale,PaymentsForOriginationOfLoansHeldForSale,PaymentsForOriginationOfMortgageLoansHeldForSale,PaymentsForProceedsFromMortgageServicingRights,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfWarrants,PaymentsOfDividendsCommonStock,PaymentsOfDividendsPreferredStockAndPreferenceStock,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,PaymentsToAcquireAdditionalInterestInSubsidiaries,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireHeldToMaturitySecurities,PaymentsToAcquireLoansAndLeasesHeldForInvestment,PaymentsToAcquireLoansAndLeasesHeldForInvestmentIncludingParticipationsByBankingSubsidiaries,PaymentsToAcquireNonmarketableEquityInvestments,PaymentsToPurchaseOtherLoansHeldForSale,PaymentsforOriginationandpurchasesofMortgageLoansHeldforsale,PaymentsforOriginationandpurchasesofMortgageLoansHeldforsaleandOtherLoansHeldforSale,PaymentstoAcquireNotHeldForTradingEquitySecurities,PreferredStockReleasedToEmployeeStockOptionPlan,PrincipalCollectedOnNonbankEntitiesLoans,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromPaymentsToMinorityShareholders,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleAndCollectionOfLoansHeldforsale,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfForeclosedAssets,ProceedsFromSaleOfForeclosedAssetsAndShortSales,ProceedsFromSaleOfLoansAndLeasesHeldForInvestment,ProceedsFromSaleOfNonmarketableEquityInvestments,ProceedsFromSalesIncludingParticipationsOfLoansOriginatedForInvestmentByBankingSubsidiaries,ProceedsFromSalesOfAndPrincipalCollectedOnLoansHeldForSale,ProceedsFromSalesOfAndPrincipalCollectedOnMortgagesOriginatedForSale,ProceedsFromSalesofandPaydownsonMortgagesOriginatedForSaleandOtherLoansHeldForSale,ProceedsFromSalesofandPaydownsonMortgagesOriginatedHeldForSale,ProceedsfromSaleandCapitalReturnsofEquitySecuritiesNotHeldForTrading,ProvisionForLoanLeaseAndOtherLosses,RepaymentsOfLongTermDebt,ShareBasedCompensation,ShareBasedCompensationAndPreferredStockReleasedByEmployeeStockOptionPlan,TransferOfPortfolioLoansAndLeasesToHeldForSale1,TransfersFromAvailableForSaleDebtSecuritiesToHeldToMaturityDebtSecurities,UnrealizedGainLossOnMortgageServicingRightsMortgagesHeldForSaleAndLoansHeldForSale
2014-02-26,2010-12-31,,,16044000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15753000000,,,,,,
2014-02-26,2011-12-31,2000000,3396000000,19440000000,,,,,2208000000,79000000,79000000,16211000000,4875000000,,401000000,-3573000000,72128000000,,-362000000,,3000000000,11529000000,35149000000,,7011000000,7522000000,,24775000000,,-35044000000,,13665000000,,-36270000000,,-3273000000,38526000000,,5000000,345099000000,155000000,-75000000,2416000000,,,,2537000000,844000000,,,121235000000,,353000000,0,8878000000,,2656000000,11723000000,,,,,9782000000,1296000000,11687000000,2501000000,52618000000,0,0,-331000000,-6231000000,,23062000000,,,13495000000,6555000000,2424000000,,11833000000,298524000000,,,,7899000000,50555000000,,1488000000,,,295000000
2014-02-26,2012-12-31,1000000,2420000000,260000000,,,,,2807000000,226000000,226000000,19368000000,8024000000,,-293000000,1297000000,82762000000,,-84000000,,-11953000000,-2064000000,105440000000,,5245000000,23555000000,,83770000000,,-139890000000,,58540000000,,92946000000,,3661000000,53381000000,,15000000,483835000000,-116000000,1169000000,3918000000,,,,4565000000,892000000,,,64756000000,,4322000000,0,9040000000,,2619000000,7975000000,,,,,25080000000,2091000000,27695000000,1377000000,59712000000,0,0,-611000000,7699000000,,5210000000,,,12690000000,6811000000,2279000000,,9383000000,421623000000,,,,7217000000,28093000000,,1698000000,,,2307000000
2014-02-26,2013-12-31,0,-1941000000,165000000,,,,,3293000000,271000000,271000000,22224000000,7132000000,,13000000,-4977000000,76342000000,,-32000000,,-7145000000,-4693000000,43638000000,,4321000000,17311000000,,93910000000,,-153492000000,,57641000000,,78184000000,,9384000000,43744000000,,0,317054000000,-407000000,-581000000,5356000000,,,,5953000000,1017000000,,,89474000000,,0,5782000000,11563000000,,3273000000,291000000,,,,,19955000000,2224000000,53227000000,3145000000,50737000000,30000000,136000000,-296000000,-3390000000,,2837000000,,,11021000000,7694000000,2577000000,,575000000,311431000000,,,,2309000000,25423000000,,1920000000,,,3229000000
2015-02-25,2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15753000000,,,,,,
2015-02-25,2011-12-31,,,19440000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7899000000,,,,,,
2015-02-25,2012-12-31,,2420000000,21860000000,,,,,2807000000,226000000,226000000,19368000000,8024000000,,-293000000,1297000000,82762000000,,-84000000,,-11953000000,-2064000000,105440000000,,5245000000,23555000000,,,83770000000,,-139890000000,,58540000000,92946000000,,3661000000,53381000000,,15000000,483835000000,-116000000,1169000000,3918000000,,,1000000,4565000000,892000000,,,64756000000,,4322000000,0,9040000000,,2619000000,7975000000,,,,,25080000000,2091000000,27695000000,1377000000,59712000000,0,0,-611000000,7699000000,,5210000000,,,12690000000,6811000000,2279000000,,9383000000,421623000000,,,,7217000000,28093000000,,1698000000,,,2307000000
2015-02-25,2013-12-31,,-1941000000,19919000000,,,,,3293000000,271000000,271000000,22224000000,7132000000,,13000000,-4977000000,76342000000,,-32000000,,-7145000000,-4693000000,43638000000,,4321000000,17311000000,,,93910000000,,-153492000000,,57641000000,78184000000,,9384000000,43744000000,,0,317054000000,-407000000,-581000000,5356000000,,,0,5953000000,1017000000,,,89474000000,,0,5782000000,11563000000,,3273000000,291000000,,,,,19955000000,2224000000,53227000000,3145000000,50737000000,30000000,136000000,-296000000,-3390000000,,2837000000,,,11021000000,7694000000,2577000000,,575000000,311431000000,,,,2309000000,25423000000,,1920000000,,,3229000000
2015-02-25,2014-12-31,,-348000000,19571000000,,,,,2515000000,453000000,453000000,23608000000,8808000000,,372000000,-2354000000,89133000000,,119000000,,15548000000,10681000000,11186000000,,3906000000,13570000000,,,110503000000,,-128380000000,,17529000000,41778000000,,3760000000,65162000000,,0,144812000000,150000000,741000000,9414000000,,,0,6908000000,1235000000,,,44807000000,,174000000,47012000000,6424000000,,3087000000,154000000,,,,,13589000000,1840000000,42154000000,2775000000,37257000000,5168000000,51000000,-552000000,8035000000,,6089000000,,,7697000000,21564000000,3161000000,,207000000,117097000000,,,,1395000000,15829000000,,1912000000,,,-1820000000
2016-02-24,2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7899000000,,,,,,
2016-02-24,2012-12-31,,,21860000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7217000000,,,,,,
