FilingDate,PeriodEnd,AdditionsToStreamingContentLibrary,AdditionstoStreamingContentAssets,AmortizationOfDvdContentLibrary,AmortizationOfStreamingContentLibrary,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ChangeInStreamingContentLiabilities,ChangeinInvestingActivitiesIncludedInLiabilities,CostOfServicesAmortizationOfDvdContentLibrary,CostOfServicesAmortizationOfStreamingContentLibrary,CostofServicesAmortizationofDVDContentAssets,CostofServicesAmortizationofStreamingContentAssets,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefitIncludingReclassifications,DepreciationAndAmortization,DepreciationDepletionAndAmortization,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionLossBeforeTax,GainsLossesOnExtinguishmentOfDebt,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidNet,InvestingActivitiesIncludedInLiabilities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherNoncashIncomeExpense,PaymentsForAcquisitionsOfContentLibrary,PaymentsForAcquisitionsOfDVDContentAssets,PaymentsForProceedsFromAvailableforsaleSecuritiesShortterm,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDebtIssuanceCosts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireShortTermInvestments,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromLinesOfCredit,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromSaleMaturityAndCollectionOfShorttermInvestments,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromStockOptionsExercised,ProceedsfromIssuancePaymentsforRepurchasePublicOfferingofCommonStock,ProceedsfromPublicOfferingofCommonStock,RepaymentsOfDebt,RepaymentsOfLongTermCapitalLeaseObligations,RepaymentsOfLongTermDebt,RepaymentsOfOtherDebt,ShareBasedCompensation
2021-01-28,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665244000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,2019-12-31,,13916683000,,,,,5043786000,1231745000,-694011000,,,,,9216247000,,-94443000,,103579000,,469000,,,45576000,,,400658000,96063000,157778000,163846000,,252113000,122531000,,,,599132000,,4505662000,-387064000,-2887322000,1866916000,-228230000,,,,134029000,,36134000,,,,,,253035000,,72490000,4469306000,,,,,0,,,,,,,,,,,,405376000
2021-01-28,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709067000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720196000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789976000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,2020-12-31,,11779284000,,,,,8238870000,3195084000,-757433000,,,,,10806912000,,70066000,,115710000,,36050000,,,-533278000,,,291582000,-41605000,198183000,193247000,,187623000,194075000,,,,762904000,,1237311000,-505354000,2427077000,2761395000,-293126000,,,,7431000,,7559000,,,,,,497923000,,235406000,1009464000,,,,,0,,,,,,,,,,,,415180000
2022-01-27,2018-12-31,,,,,,,3812041000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,2019-12-31,,13916683000,,,,,5043786000,1231745000,-694011000,,,,,9216247000,,-94443000,,103579000,,469000,,,45576000,,,400658000,96063000,157778000,163846000,,252113000,122531000,,,,599132000,,4505662000,-387064000,-2887322000,1866916000,-228230000,,,,134029000,0,36134000,,,,0,,253035000,,72490000,4469306000,,,,,0,,,,,,,,,,0,,405376000
2022-01-27,2020-12-31,,11779284000,,,,,8238870000,3195084000,-757433000,,,,,10806912000,,70066000,,115710000,,36050000,,,-533278000,,,291582000,-41605000,198183000,193247000,,187623000,194075000,,,,762904000,,1237311000,-505354000,2427077000,2761395000,-293126000,,,,7431000,0,7559000,,,,0,,497923000,,235406000,1009464000,,,,,0,,,,,,,,,,0,,415180000
2022-01-27,2021-12-31,,17702202000,,,,,6055111000,-2183759000,232898000,,,,,12230367000,,199548000,,208412000,,-86740000,,,430661000,,,509265000,145115000,180338000,91350000,,369681000,289099000,,,,763432000,,-1149776000,-1339853000,392610000,5116228000,-376777000,,,,26919000,600022000,0,,,,788349000,,524585000,,174414000,0,,,,,-224168000,,,,,,,,,,500000000,,403220000
2023-01-26,2019-12-31,,,,,,,5043786000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-26,2020-12-31,,11779284000,,,,,8238870000,3195084000,-757433000,,,,,10806912000,,70066000,,115710000,,36050000,,,-533278000,,,291582000,-41605000,198183000,193247000,,187623000,194075000,,,,762904000,,1237311000,-505354000,2427077000,2761395000,-293126000,,,,7431000,0,7559000,,,,0,,497923000,0,,1009464000,,,,,0,,,,,235406000,,,,,0,,415180000
2023-01-26,2021-12-31,,17702202000,,,,,6055111000,-2183759000,232898000,,,,,12230367000,,199548000,,208412000,,-86740000,,,430661000,,,509265000,145115000,180338000,91350000,,369681000,289099000,,,,763432000,,-1149776000,-1339853000,392610000,5116228000,-376777000,,,,26919000,600022000,0,,,,788349000,,524585000,0,,0,,,,,-224168000,,,,,174414000,,,,,500000000,,403220000
2023-01-26,2022-12-31,,16839038000,,,,,5170582000,-884529000,179310000,,,,,14026132000,,-166550000,,336682000,,-170140000,,,353111000,,,811720000,-158543000,-55513000,27356000,,353834000,217553000,,,,701693000,,-664254000,-2076392000,2026257000,4491924000,-533543000,,,,0,0,0,,,,757387000,,407729000,911276000,,0,,,,,0,,,,,35746000,,,,,700000000,,575452000
2024-01-26,2020-12-31,,,,,,,8238870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-26,2021-12-31,,17702202000,,,,,6055111000,-2183759000,232898000,,,,,12230367000,,199548000,,208412000,,-86740000,,,430661000,,,509265000,145115000,180338000,91350000,,369681000,289099000,,,,763432000,,-1149776000,-1339853000,392610000,5116228000,-376777000,,,,26919000,600022000,,224168000,,,788349000,,524585000,0,,,,,,,0,0,,,,174414000,,,,,500000000,,403220000
2024-01-26,2022-12-31,,16839038000,,,,,5170582000,-884529000,179310000,,,,,14026132000,,-166550000,,336682000,,-170140000,,,353111000,,,811720000,-158543000,-55513000,27356000,,353834000,217553000,,,,701693000,,-664254000,-2076392000,2026257000,4491924000,-533543000,,,,0,0,,0,,,757387000,,407729000,911276000,,,,,,,0,0,,,,35746000,,,,,700000000,,575452000
2024-01-26,2023-12-31,,12554703000,,,,,7118515000,1947933000,-585602000,,,,,14197437000,,-459359000,,356947000,,82684000,,,-176296000,,,1154973000,93502000,103565000,178708000,,181003000,310920000,,,,684504000,,-5950803000,541751000,7274301000,5407990000,-512075000,,,,0,6045347000,,0,,,0,,348552000,504862000,,,,,,,-75446000,1395165000,,,,169990000,,,,,0,,339368000
2025-01-27,2021-12-31,,,,,,,6055111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-27,2022-12-31,,16839038000,,,,,5170582000,-884529000,179310000,,,,,14026132000,,-166550000,,336682000,,-170140000,,,353111000,,,811720000,-158543000,-55513000,27356000,,353834000,217553000,,,,701693000,,-664254000,-2076392000,2026257000,4491924000,-533543000,,,,,0,,0,,,757387000,911276000,407729000,,,0,,,,,0,,0,,,35746000,,,,,700000000,,575452000
2025-01-27,2023-12-31,,12554703000,,,,,7118515000,1947933000,-585602000,,,,,14197437000,,-459359000,,356947000,,82684000,,,-176296000,,,1154973000,93502000,103565000,178708000,,181003000,310920000,,,,684504000,,-5950803000,541751000,7274301000,5407990000,-512075000,,,,,6045347000,,0,,,0,504862000,348552000,,,0,,,,,-75446000,,1395165000,,,169990000,,,,,0,,339368000
2025-01-27,2024-12-31,,16223617000,,,,,7807337000,688822000,-779135000,,,,,15301517000,,-590698000,,328914000,,-416331000,,,121539000,,,1641530000,121353000,191899000,77844000,,-22180000,446351000,,,,674502000,,-4074427000,-2181784000,7361364000,8711631000,-494778000,,,,,6263746000,,8285000,,,0,1742246000,439538000,,,1794460000,,,,,-29743000,,0,,,832887000,,,,,400000000,,272588000
